,id,speed,travel_time,status,borough,link_name,hour,date
44,221,20.50,500,0,Manhattan,FDR S 25th St - Catherine Slip,14:23:10.000,2021-03-10
45,217,22.99,444,0,Manhattan,FDR N Catherine Slip - 25th St,14:23:10.000,2021-03-10
46,222,29.20,232,0,Manhattan,FDR S 63rd - 25th St,14:23:10.000,2021-03-10
47,2,0.00,0,-101,Manhattan,11th ave s ganservoort - west st @ spring st,14:23:10.000,2021-03-10
49,4,3.72,879,0,Manhattan,12th Ave N 40th - 57th St,14:23:10.000,2021-03-10
50,145,22.99,113,0,Manhattan,BKN Bridge Manhattan Side - FDR N Catherine Slip,14:23:10.000,2021-03-10
53,223,20.50,129,0,Manhattan,FDR S Catherine Slip - BKN Bridge Manhattan Side,14:23:10.000,2021-03-10
54,1,3.72,1453,0,Manhattan,11th ave n ganservoort - 12th ave @ 40th st,14:23:10.000,2021-03-10
55,215,22.99,298,0,Manhattan,FDR N 25th - 63rd St,14:23:10.000,2021-03-10
63,3,1.86,2811,0,Manhattan,12th ave @ 45th - 11 ave ganservoort st,14:23:10.000,2021-03-10
65,106,3.72,535,0,Manhattan,12th Ave S 57th St - 45th St,14:23:10.000,2021-03-10
76,325,32.31,171,0,Manhattan,LINCOLN TUNNEL E SOUTH TUBE - NJ - NY,14:23:07.000,2021-03-10
78,324,0.00,0,-101,Manhattan,LINCOLN TUNNEL E CENTER TUBE NJ - NY,14:23:07.000,2021-03-10
86,445,0.00,0,-101,Manhattan,West St S Spring St - BBT Manhattan Portal outbound,14:23:04.000,2021-03-10
87,150,22.99,413,0,Manhattan,BQE N Atlantic Ave - MAN Bridge Manhattan Side,14:23:03.000,2021-03-10
88,265,55.30,134,0,Manhattan,GWB E LOWER LEVEL PLAZA - CBE E LOWER LEVEL AMSTERDAM AVE,14:23:03.000,2021-03-10
93,450,37.28,528,0,Manhattan,Westside Hwy S GWB - 57th St,14:23:03.000,2021-03-10
95,448,26.09,746,0,Manhattan,Westside Hwy N 57th St - GWB,14:23:03.000,2021-03-10
97,399,36.03,66,0,Manhattan,TBB W - FDR S MANHATTAN TRUSS - E116TH STREET,14:23:03.000,2021-03-10
